ticker,profit,avg_return,start_price
MMM,155.47802276666667,0.053073657990513744,80.93
ABT,81.78914783333333,0.05321230977536603,24.061970000000002
ABBV,99.63417159999997,0.07383683596256052,35.119999
ABMD,244.4528031166666,0.09322708454818675,12.52
ACN,223.6345336666666,0.06476799772851159,54.52
ATVI,89.34082216666668,0.07321103173861729,11.03
ADBE,385.18367411666657,0.0933133895971316,24.559998999999998
AMD,49.27383483333333,0.11212868541219194,6.14
AAP,172.73418391666667,0.0556071274509167,56.740002000000004
AES,15.466522676190467,0.05285598302734177,10.91
AFL,54.47958536666666,0.05760539225298083,18.74
A,103.56880679047617,0.07987571570710703,25.608010999999998
APD,248.0377437,0.061305555132774414,75.43940699999999
AKAM,115.57749537499997,0.06912526865523437,22.620001000000002
ALK,49.901849333333345,0.05354294228589468,14.325
ALB,166.09047071666666,0.07372348533076274,53.990002000000004
ARE,175.15703857380961,0.059139614753099236,72.160004
ALXN,239.87350895000003,0.07424311595944401,51.740002000000004
ALGN,353.54425479999975,0.08072082131833819,18.25
ALLE,97.87550125,0.05769648751423772,48.48
ADS,215.8572449333333,0.03874930275606585,90.370003
LNT,44.463321199999996,0.04478122581394783,19.620001000000002
ALL,79.6582662838384,0.0556462851801995,25.48
GOOGL,1808.0759599333342,0.07911333422516777,266.841827
GOOG,1474.7437426,0.07639057867490466,265.579529
MO,25.726734441666665,0.028889711488150824,26.0
AMZN,2155.0611428499997,0.08274453759460901,195.929993
AMCR,9.40366666666666,0.039749581862374615,7.7
AEE,42.29832843333334,0.030540874001313324,28.940001000000002
AAL,62.157500916666635,0.08722130521467777,5.69
AEP,65.10798573333338,0.0394108087250098,37.830002
AXP,146.2991902190476,0.06393132339704516,45.860001000000004
AIG,63.47430041190475,0.05331392227126776,24.85
AMT,224.82101696666663,0.05570144111859439,50.849998
AWK,96.53317665000006,0.05319028106337941,28.610001
AMP,231.8381946095239,0.08126455624006165,44.060001
ABC,103.30151354999997,0.05361084751283033,38.689999
AME,115.98248931666667,0.08301626126199604,25.26
AMGN,239.2205327166667,0.057406779054082244,51.720001
APH,49.074182333333376,0.06161526864753841,11.4525
ADI,205.60367366666662,0.079699641173311,31.690001000000002
ANSS,306.21403190000007,0.07385997521075285,49.919998
ANTM,381.2216509166667,0.07205354459414552,61.790001000000004
AON,230.8950388333334,0.061358964616662015,46.41
AOS,49.28765736666666,0.05684064729941687,9.2225
APA,15.829392675000038,0.006194944662320872,104.889999
AIV,7.401463450000004,0.054015303607344745,3.4821720000000003
AAPL,64.10558172777777,0.05230113568846463,13.587143
AMAT,68.6767156,0.08786008335065855,11.62
APTV,144.88180279761912,0.07450571053051332,17.879295000000003
ADM,50.726113055555565,0.051304533958774684,28.33
ANET,282.8191548333333,0.10576949123184358,55.0
AJG,81.66315970000002,0.0485670660635915,26.950001
AIZ,178.3414789833333,0.07003912290636846,33.41
T,29.982895122222207,0.033726264756838535,29.17
ATO,77.75664124999997,0.049809767524442064,32.48
ADSK,250.6341391666667,0.08323633936171533,28.85
ADP,203.7472932380952,0.05561159292374186,42.001754999999996
AZO,1103.7579798749994,0.05616380303043334,288.480011
AVB,226.12086208333332,0.050717561532182015,133.5
AVY,118.44915508333338,0.0697317146757481,27.450001
BKR,5.578428150000002,0.008515698111561006,63.73
BLL,55.78382648333336,0.061280598206146286,17.860001
BAC,22.019006316666676,0.06393436230553505,7.46
BK,75.3932181190476,0.06341564001844383,20.790001
BAX,72.858707125,0.045251194759918324,29.201521000000003
BDX,231.73846937142847,0.0527684495707332,79.809998
BR,139.03668329999996,0.08381031809752157,21.1
BBY,116.10771582619049,0.09003187845364882,24.809998999999998
BIIB,457.1620091583333,0.08248853160717527,90.029999
BLK,836.5347434500002,0.06890324371061207,161.179993
BA,186.40962713333326,0.04951168074471088,62.18
BKNG,3027.197557633334,0.08327081049248376,491.85000599999995
BWA,21.862799023809547,0.030481277036082766,34.490002000000004
BXP,129.88905989761903,0.043395936535808026,104.089996
BSX,43.741073526190476,0.06859215537133376,6.48
BMY,47.208820433333315,0.04200491375894694,28.51
AVGO,491.25787588095227,0.09335310948180155,30.700001
BR,139.03668329999996,0.08381031809752157,21.1
B,62.758498838888904,0.07016720210241957,21.780001000000002
CHRW,87.0336409333333,0.04716090436815253,67.199997
COG,37.88506295238096,0.06235229160162075,18.025
CDNS,95.78019315000002,0.07921271749900596,8.95
CPB,59.244959559523835,0.05240155886724878,31.309998999999998
COF,123.59966805000005,0.06880002393754353,44.470001
CAH,88.41634693333333,0.05430203630325494,41.880001
KMX,74.1291755666667,0.049226509444509,27.09
CCL,57.701818414285725,0.059745645566007775,31.42
CARR,0.0,0.0,12.0
CAT,89.17671616428574,0.04031258759722761,87.639999
CBOE,93.29300996666663,0.05416909231420184,23.780001000000002
CBRE,89.64633574166666,0.0854320502395716,16.07
CDW,135.7623513690476,0.07891041665832789,18.370001000000002
CE,118.39735815000006,0.06201074208304694,43.0
CNC,57.041334408333334,0.08392858842378798,7.61
CNP,14.375501883333342,0.02783125135579498,19.440001000000002
CERN,55.67915391666665,0.04057942400948766,28.969998999999998
CF,51.87982143333332,0.05633028377886696,34.382
SCHW,63.13583283333333,0.07645169222730422,12.55
CHTR,468.4974576749999,0.07476303447133197,48.450001
CVX,87.89279303571426,0.03605413839488022,97.68
CMG,1272.4951393666663,0.0781928011407114,309.440002
CB,149.27609838333333,0.041691798941863825,63.939999
CHD,49.208926726190484,0.04441825369458566,20.68
CI,299.0526818833334,0.0909101390062305,44.119999
CINF,83.80932678333335,0.055253680080645455,26.41
